file_name,gt_count,pred_count,tp,fp,fn,precision,recall,f1
PMC10681723,9,10,4,7,5,0.3636,0.4444,0.4000
PMC4746666,42,48,40,9,2,0.8163,0.9524,0.8791
PMC5535869,29,23,23,1,6,0.9583,0.7931,0.8679
PMC5830451,29,32,28,4,1,0.8750,0.9655,0.9180
PMC6918071,16,13,11,2,5,0.8462,0.6875,0.7586
PMC7144211,30,38,26,12,4,0.6842,0.8667,0.7647
PMC7294662,43,47,40,10,3,0.8000,0.9302,0.8602
PMC7367873,39,55,36,17,3,0.6792,0.9231,0.7826
PMC7921882,18,25,17,7,1,0.7083,0.9444,0.8095
PMC8698288,27,28,27,4,0,0.8710,1.0000,0.9310
