Entity Type,Precision,Recall,F1-Score,True Positives,False Positives,False Negatives,GT Count,Pred Count,GT Only,Pred Only
AcquisitionMethod,0.9677,0.8824,0.9231,30,1,4,34,25,No,No
Age,0.8000,1.0000,0.8889,4,1,0,4,5,No,No
AlkylationReagent,1.0000,0.9545,0.9767,21,0,1,22,21,No,No
AnatomicSiteTumor,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
BMI,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
Bait,0.2000,1.0000,0.3333,2,8,0,2,10,No,No
CellLine,0.8571,0.7059,0.7742,12,2,5,17,14,No,No
CellPart,0.1667,0.1250,0.1429,1,5,7,8,6,No,No
CellType,0.7000,0.3333,0.4516,7,3,14,21,10,No,No
CleavageAgent,1.0000,0.9268,0.9620,38,0,3,41,34,No,No
CollisionEnergy,1.0000,0.9643,0.9818,27,0,1,28,24,No,No
Compound,0.1351,0.4545,0.2083,5,32,6,11,36,No,No
ConcentrationOfCompound,0.0000,0.0000,0.0000,0,0,47,47,0,Yes,No
Depletion,0.6667,0.5000,0.5714,2,1,2,4,2,No,No
DevelopmentalStage,0.2222,0.5000,0.3077,2,7,2,4,9,No,No
Disease,1.0000,0.4783,0.6471,22,0,24,46,14,No,No
EnrichmentMethod,0.8000,0.7407,0.7692,20,5,7,27,18,No,No
Experiment,0.0000,0.0000,0.0000,0,0,5,5,0,Yes,No
FlowRateChromatogram,0.8148,1.0000,0.8980,22,5,0,22,27,No,No
FractionIdentifier,0.3750,0.5455,0.4444,6,10,5,11,14,No,No
FractionationFraction,0.0000,0.0000,0.0000,0,0,17,17,0,Yes,No
FractionationMethod,0.7586,0.8148,0.7857,22,7,5,27,24,No,No
FragmentMassTolerance,0.9444,0.8500,0.8947,17,1,3,20,17,No,No
FragmentationMethod,1.0000,0.8919,0.9429,33,0,4,37,23,No,No
GeneticModification,0.0870,1.0000,0.1600,2,21,0,2,22,No,No
Genotype,0.0000,0.0000,0.0000,0,5,0,0,5,No,Yes
GradientTime,0.7500,0.9310,0.8308,27,9,2,29,35,No,No
GrowthRate,0.0000,0.0000,0.0000,0,0,1,1,0,Yes,No
Instrument,0.9714,0.8500,0.9067,34,1,6,40,32,No,No
IonizationType,0.9167,0.7333,0.8148,11,1,4,15,12,No,No
Label,0.9118,0.7949,0.8493,31,3,8,39,20,No,No
MS2MassAnalyzer,0.0000,0.0000,0.0000,0,0,21,21,0,Yes,No
MaterialType,0.0000,0.0000,0.0000,0,32,0,0,32,No,Yes
Modification,0.9655,0.8842,0.9231,84,3,11,95,93,No,No
NumberOfBiologicalReplicates,0.2105,0.2105,0.2105,4,15,15,19,19,No,No
NumberOfFractions,0.7619,0.8000,0.7805,16,5,4,20,20,No,No
NumberOfMissedCleavages,0.9333,0.9333,0.9333,14,1,1,15,16,No,No
NumberOfSamples,0.7059,0.3750,0.4898,12,5,20,32,14,No,No
NumberOfTechnicalReplicates,0.7500,0.6000,0.6667,9,3,6,15,12,No,No
Organism,0.8286,0.6517,0.7296,58,12,31,89,57,No,No
OrganismPart,0.6889,0.5082,0.5849,31,14,30,61,40,No,No
OriginSiteDisease,0.0000,0.0000,0.0000,0,0,2,2,0,Yes,No
PooledSample,0.4444,0.4000,0.4211,4,5,6,10,9,No,No
PrecursorMassTolerance,0.9310,0.9643,0.9474,27,2,1,28,27,No,No
ReductionReagent,0.9259,0.9615,0.9434,25,2,1,26,25,No,No
SampleTreatment,0.0000,0.0000,0.0000,0,0,9,9,0,Yes,No
SamplingTime,0.5385,0.4118,0.4667,7,6,10,17,8,No,No
Separation,0.8776,0.6143,0.7227,43,6,27,70,35,No,No
Sex,1.0000,0.8571,0.9231,6,0,1,7,6,No,No
Specimen,0.0000,0.0000,0.0000,0,4,10,10,4,No,No
SpikedCompound,0.9474,0.7826,0.8571,18,1,5,23,11,No,No
Staining,1.0000,0.7000,0.8235,7,0,3,10,6,No,No
Strain,0.7812,0.8621,0.8197,25,7,4,29,32,No,No
SupplementaryFile,0.0000,0.0000,0.0000,0,0,23,23,0,Yes,No
TechnologyType,0.0000,0.0000,0.0000,0,0,4,4,0,Yes,No
Temperature,0.5833,0.2121,0.3111,7,5,26,33,12,No,No
Time,0.6250,0.1190,0.2000,5,3,37,42,8,No,No
Treatment,0.2857,0.4286,0.3429,6,15,8,14,20,No,No
TumorCellularity,0.0000,0.0000,0.0000,0,1,1,1,1,No,No
TumorGrade,0.0000,0.0000,0.0000,0,0,2,2,0,Yes,No
TumorSite,1.0000,0.2500,0.4000,1,0,3,4,1,No,No
TumorStage,0.0000,0.0000,0.0000,0,1,2,2,1,No,No
separation,0.0000,0.0000,0.0000,0,0,17,17,0,Yes,No
treatment,0.6250,1.0000,0.7692,5,3,0,5,5,No,No
