Entity_Type,File,Pred_Text,Pred_Line
AcquisitionMethod,37681923,PRM-MS,2
Age,35236848,2-week-old seedlings,1
AnatomicSiteTumor,29681787,rectal,2
BMI,33855848,a body mass index below 30,4
Bait,25218447,His10-SUMO-2-K0-Q87R,3
Bait,28091603,GST:Repo-Man,2
Bait,28091603,GST alone,3
Bait,35037038,3xHA-miniTurbo-TRbeta,1
Bait,35037038,3X-HA-miniTurbo-TRbeta-GS125,2
Bait,35037038,3X-HA-miniTurbo-TRbeta-PV,3
Bait,36097293,Arx1-TAP,3
Bait,37207340,mtPrA,1
CellLine,37328468,ExpiCHO-S cells,2
CellLine,37681923,A549,5
CellPart,28091603,chromatin,5
CellPart,35037038,nuclear extract,5
CellPart,35236848,nuclei,2
CellPart,35680998,nuclear pellet,2
CellPart,35680998,chromatin,3
CellType,26149123,O+ human RBC,2
CellType,28680058,O+ erythrocytes,2
CellType,35680998,ES cells,4
Compound,25218447,MG-132 10 muM,9
Compound,25218447,PR-619 20 muM,10
Compound,25218447,"Trichostatin A (TSA, Sigma) 150 nM",11
Compound,25218447,curcumin (Sigma) 50 muM,12
Compound,28091603,alkaline phosphatase,7
Compound,28680058,2.5 nM WR99210,6
Compound,28680058,IBMX (250 muM),7
Compound,28680058,BAPTA-AM (40 muM),8
Compound,28680058,8Br-cAMP (100 muM),9
Compound,28680058,PKI (20 muM),10
Compound,31699904,beta-lactoglobulin,9
Compound,31699904,fibrinogen alpha,10
Compound,31699904,fibrinogen beta,11
Compound,31699904,fibrinogen gamma,12
Compound,31699904,glucose oxidase,13
Compound,31699904,human hemoglobin alpha,14
Compound,31699904,human hemoglobin beta,15
Compound,31699904,lipases 1,16
Compound,31699904,lipases 2,17
Compound,31699904,lipases 3,18
Compound,31699904,lysozyme,19
Compound,31699904,myoglobin,20
Compound,32284562,100nM Rapamycin,10
Compound,33630598,glucose 20 g/L,8
Compound,35037038,1 N NaOH,7
Compound,35037038,250 muM biotin,8
Compound,37207340,chloramphenicol (40 mg/l),7
Compound,37207340,G418 was added at 75-150 mg/l,8
Compound,37207340,G418 selection ranging from 45 to 83 mug/ml,9
Compound,37207340,75 mug/ml G418,10
Compound,37330510,"Methylprednisolone (Solu-MedrolTM, Pfizer)",8
Compound,37330510,meropenem (Pfizer),9
Depletion,24657495,saponin lysis,7
DevelopmentalStage,32284562,Asexual RBC stage,11
DevelopmentalStage,35236989,pregnant,6
DevelopmentalStage,35236989,term delivery (>37 weeks),7
DevelopmentalStage,35236989,E15.5-E17.5,8
DevelopmentalStage,35236989,E16.5-E18.5,9
DevelopmentalStage,35680998,vegetative stage,7
DevelopmentalStage,35680998,adult sponges,8
EnrichmentMethod,25218447,Ni-NTA agarose beads (Qiagen),13
EnrichmentMethod,28091603,incubated overnight (4 degreesC) with either GST:Repo-Man or GST alone glutathione beads (Thermo Scientific),8
EnrichmentMethod,28091603,Bound fraction was washed with binding buffer and eluted with glutathione reduced,9
EnrichmentMethod,28675934,"ECM proteins were enriched from frozen whole tissue or tumor sections (20 x 30 mum sections, ~40-50 mg of tissue), as previously described.",8
EnrichmentMethod,35236848,pre-washed GFP-Trap_A agarose beads (ChromoTek) was added to pull down target protein complex,4
FlowRateChromatogram,24657495,0.3 mul/min,11
FlowRateChromatogram,25100859,250 nL/min,7
FlowRateChromatogram,28675934,1 mL/min,13
FlowRateChromatogram,32284562,at a flow rate of 250 nL/minute,22
FlowRateChromatogram,37681923,30 muL/min,13
FractionIdentifier,32860207,gel band 1,8
FractionIdentifier,32860207,gel band 2,9
FractionIdentifier,32860207,gel band 5,10
FractionIdentifier,35236989,The flow-through fractions,17
FractionIdentifier,35236989,Eluates,18
FractionIdentifier,36097293,0.9-1.0,13
FractionIdentifier,36097293,1.0-1.1,14
FractionIdentifier,36097293,1.1-1.2,15
FractionIdentifier,36097293,1.2-1.3,16
FractionIdentifier,36097293,1.3-1.4,17
FractionationMethod,21183079,SDS-PAGE,14
FractionationMethod,26149123,"linear gradient of 0-1 M NaCl in 10 mM TEAB, pH 7.0, collecting 1 ml fractions",18
