Entity_Type,GT_File,GT_Text,GT_Line,Pred_File,Pred_Text,Pred_Line,Similarity,Match_Type
AcquisitionMethod,24657495,data-dependent neutral loss-triggered-ETD,1,24657495,standard data dependent acquisition mode,1,0.8800,TagContainment
AcquisitionMethod,24657495,data-dependent neutral loss-triggered-ETD,1,24657495,data dependent neutral loss-triggered-ETD (DDNL) strategy,2,0.8800,TagContainment
AcquisitionMethod,24657495,DDNL,2,24657495,data dependent neutral loss-triggered-ETD (DDNL) strategy,2,0.9500,Semantic
AcquisitionMethod,24657495,conventional decision-tree,3,24657495,decision-tree method,3,0.8800,TagContainment
AcquisitionMethod,25100859,data-dependent acquisition,1,25100859,data-dependent acquisition (DDA),1,0.9500,Semantic
AcquisitionMethod,25100859,top-20 method,4,25100859,top-20 method,2,1.0000,Exact
AcquisitionMethod,25218447,data-dependent acquisition,1,25218447,data-dependent acquisition mode,1,0.9500,Semantic
AcquisitionMethod,28675934,data-dependent mode.,1,28675934,data-dependent mode,1,0.9500,Semantic
AcquisitionMethod,31395880,data independent acquisition,1,31395880,data independent acquisition (DIA),1,0.9500,Semantic
AcquisitionMethod,31395880,data independent acquisition,1,31395880,data-dependent manner,2,0.8800,TagContainment
AcquisitionMethod,31395880,DIA,2,31395880,data independent acquisition (DIA),1,0.9500,Semantic
AcquisitionMethod,31395880,data-dependent,3,31395880,data independent acquisition (DIA),1,0.8800,TagContainment
AcquisitionMethod,31395880,data-dependent,3,31395880,data-dependent manner,2,0.9500,Semantic
AcquisitionMethod,31699904,Data-independent Acquisition,1,31699904,data-dependent acquisition (DDA),1,0.8800,TagContainment
AcquisitionMethod,31699904,Data-independent Acquisition,1,31699904,data-independent acquisition (DIA),2,0.9500,Semantic
AcquisitionMethod,31699904,DIA,2,31699904,data-independent acquisition (DIA),2,0.9500,Semantic
AcquisitionMethod,31699904,DDA,3,31699904,data-dependent acquisition (DDA),1,0.9500,Semantic
