file_name,entity_type,pred_text,pred_line,confidence,verdict
21183079,Age,three-week-old,1,1.0,supported
21183079,CleavageAgent,trypsin,2,1.0,supported
21183079,EnrichmentMethod,phosphopeptide enrichment via immobilized metal affinity chromatography,3,1.0,supported
21183079,FractionationMethod,strong cation exchange chromatography,13,1.0,supported
21183079,FractionationMethod,SDS-PAGE,14,1.0,supported
21183079,Instrument,LTQ-Orbitrap mass spectrometer,15,1.0,supported
21183079,Instrument,LTQ-Velos-Orbitrap mass spectrometer,16,1.0,supported
21183079,MaterialType,tissue,17,1.0,supported
21183079,Modification,phosphorylation,18,1.0,supported
21183079,NumberOfSamples,9,19,1.0,supported
21183079,NumberOfTechnicalReplicates,duplicate,20,1.0,supported
21183079,Organism,mouse,21,1.0,supported
21183079,OrganismPart,brain,22,1.0,supported
21183079,OrganismPart,brown fat,23,1.0,supported
21183079,OrganismPart,heart,24,1.0,supported
21183079,OrganismPart,liver,25,1.0,supported
21183079,OrganismPart,lung,26,1.0,supported
21183079,OrganismPart,kidney,27,1.0,supported
21183079,OrganismPart,pancreas,28,1.0,supported
21183079,OrganismPart,spleen,29,1.0,supported
21183079,OrganismPart,testis,30,1.0,supported
21183079,SamplingTime,"Mice were sacrificed after overnight feeding, 6 hours after lights were turned on and eating ceased.",31,1.0,supported
21183079,Sex,male,32,1.0,supported
21183079,Strain,Swiss-Webster,33,1.0,supported
21183079,Time,overnight,34,1.0,supported
21183079,Treatment,overnight feeding,35,1.0,supported
24657495,AcquisitionMethod,standard data dependent acquisition mode,1,1.0,supported
24657495,AcquisitionMethod,data dependent neutral loss-triggered-ETD (DDNL) strategy,2,0.91,supported
24657495,AcquisitionMethod,decision-tree method,3,1.0,supported
24657495,AlkylationReagent,iodoacetamide,4,1.0,supported
24657495,CellType,human erythrocytes,5,1.0,supported
24657495,CleavageAgent,Trypsin Gold,6,1.0,supported
24657495,Depletion,saponin lysis,7,1.0,supported
24657495,EnrichmentMethod,IMAC purification,8,1.0,supported
24657495,FlowRateChromatogram,0.3 mul/min,11,1.0,supported
24657495,FragmentMassTolerance,0.5 Da for MS/MS mass tolerance,12,1.0,supported
