Entity Type,Precision,Recall,F1-Score,True Positives,False Positives,False Negatives,GT Count,Pred Count,GT Only,Pred Only
AcquisitionMethod,1.0000,0.8889,0.9412,8,0,1,9,7,No,No
Age,1.0000,1.0000,1.0000,4,0,0,4,4,No,No
AlkylationReagent,0.8571,1.0000,0.9231,6,1,0,6,7,No,No
AnatomicSiteTumor,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
Bait,0.0000,0.0000,0.0000,0,1,2,2,1,No,No
CellLine,0.8000,0.8000,0.8000,4,1,1,5,5,No,No
CellPart,0.4286,1.0000,0.6000,3,4,0,3,7,No,No
CellType,1.0000,0.6000,0.7500,3,0,2,5,4,No,No
CleavageAgent,1.0000,1.0000,1.0000,14,0,0,14,12,No,No
CollisionEnergy,1.0000,1.0000,1.0000,12,0,0,12,12,No,No
Compound,0.1667,1.0000,0.2857,1,5,0,1,6,No,No
Depletion,1.0000,1.0000,1.0000,1,0,0,1,1,No,No
DevelopmentalStage,1.0000,1.0000,1.0000,3,0,0,3,3,No,No
Disease,0.6667,1.0000,0.8000,4,2,0,4,7,No,No
EnrichmentMethod,0.5000,0.8000,0.6154,4,4,1,5,7,No,No
FlowRateChromatogram,1.0000,0.7857,0.8800,11,0,3,14,14,No,No
FractionIdentifier,0.0000,0.0000,0.0000,0,3,3,3,3,No,No
FractionationMethod,0.6667,1.0000,0.8000,6,3,0,6,10,No,No
FragmentMassTolerance,1.0000,1.0000,1.0000,6,0,0,6,6,No,No
FragmentationMethod,1.0000,1.0000,1.0000,7,0,0,7,7,No,No
GeneticModification,0.3333,1.0000,0.5000,2,4,0,2,5,No,No
Genotype,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
GradientTime,1.0000,0.8261,0.9048,19,0,4,23,13,No,No
Instrument,0.9091,1.0000,0.9524,10,1,0,10,11,No,No
IonizationType,0.6667,1.0000,0.8000,4,2,0,4,6,No,No
Label,0.7059,0.8571,0.7742,12,5,2,14,14,No,No
MaterialType,0.8182,1.0000,0.9000,9,2,0,9,11,No,No
Modification,1.0000,1.0000,1.0000,26,0,0,26,26,No,No
NumberOfBiologicalReplicates,1.0000,0.8750,0.9333,7,0,1,8,6,No,No
NumberOfFractions,0.3333,1.0000,0.5000,1,2,0,1,3,No,No
NumberOfMissedCleavages,0.7143,1.0000,0.8333,5,2,0,5,7,No,No
NumberOfSamples,0.0000,0.0000,0.0000,0,2,0,0,2,No,Yes
NumberOfTechnicalReplicates,0.5000,0.7500,0.6000,3,3,1,4,6,No,No
Organism,0.7500,0.8000,0.7742,12,4,3,15,16,No,No
OrganismPart,1.0000,0.7692,0.8696,10,0,3,13,10,No,No
PooledSample,0.0000,0.0000,0.0000,0,3,0,0,3,No,Yes
PrecursorMassTolerance,1.0000,1.0000,1.0000,7,0,0,7,7,No,No
ReductionReagent,1.0000,1.0000,1.0000,8,0,0,8,8,No,No
SamplingTime,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
Separation,0.5455,1.0000,0.7059,6,5,0,6,15,No,No
Sex,1.0000,1.0000,1.0000,2,0,0,2,2,No,No
Specimen,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
SpikedCompound,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
Staining,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
Strain,0.6000,1.0000,0.7500,3,2,0,3,5,No,No
Temperature,0.5000,1.0000,0.6667,2,2,0,2,4,No,No
Time,0.5000,0.6667,0.5714,2,2,1,3,4,No,No
Treatment,1.0000,0.8000,0.8889,4,0,1,5,3,No,No
TumorSite,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
treatment,1.0000,1.0000,1.0000,2,0,0,2,2,No,No
