Entity_Type,File,GT_Text,GT_Line
AcquisitionMethod,PMC10681723,affinity purification-mass spectrometry (AP-MS),1
Bait,PMC10681723,Spt16,2
Bait,PMC10681723,Spt16-ΔN,3
CellLine,PMC7294662,THP-1,4
CellType,PMC5535869,rice suspension cell,1
CellType,PMC7367873,epithelial,4
EnrichmentMethod,PMC10681723,tandem affinity purification (TAP),4
FlowRateChromatogram,PMC7294662,250 nL/min,16
FlowRateChromatogram,PMC7294662,300 nL/min,17
FlowRateChromatogram,PMC7367873,300 nL/min,15
FractionIdentifier,PMC7144211,EV-enriched,16
FractionIdentifier,PMC7144211,protein-enriched,17
FractionIdentifier,PMC7144211,THP-enriched,18
GradientTime,PMC5535869,24 min,13
GradientTime,PMC5535869,8 min,14
GradientTime,PMC5535869,5 min,15
GradientTime,PMC5535869,3 min,16
Label,PMC4746666,Arg6/Lys4,29
Label,PMC4746666,Arg10/Lys8,30
NumberOfBiologicalReplicates,PMC10681723,n = 3,10
NumberOfTechnicalReplicates,PMC6918071,Two,11
Organism,PMC5535869,rice,26
Organism,PMC6918071,Candidatus Endoriftia persephone,14
Organism,PMC7921882,Euroglyphus maynei,16
OrganismPart,PMC6918071,tentacular crown,17
OrganismPart,PMC6918071,lamellae,18
OrganismPart,PMC6918071,body wall,19
Time,PMC7144211,3 months,37
Treatment,PMC7367873,untreated,42
