File Name,GT Count,Pred Count,TP,FP,FN,Precision,Recall,F1-Score,Judge Correctness Score,Judge Accuracy Score,Judge Hallucination Rate,Judge Type Mismatches,Judge Wrong Values,Judge Missed Extractions
PMC10681723,9,10,4,7,5,0.3636,0.4444,0.4000,0.9,0.9,0.0,1,0,5
PMC4746666,42,48,40,9,2,0.8163,0.9524,0.8791,0.8958333333333334,0.8958333333333334,0.0,3,0,2
PMC5535869,29,23,23,1,6,0.9583,0.7931,0.8679,0.9130434782608695,0.9130434782608695,0.0434782609,1,2,4
PMC5830451,29,32,29,3,0,0.9062,1.0000,0.9508,0.90625,0.90625,0.0,1,3,3
PMC6918071,16,13,11,2,5,0.8462,0.6875,0.7586,1.0,1.0,0.0,0,0,5
PMC7144211,30,38,26,12,4,0.6842,0.8667,0.7647,0.8947368421052632,0.8947368421052632,0.0,4,0,5
PMC7294662,43,47,40,10,3,0.8000,0.9302,0.8602,0.9574468085106383,0.9574468085106383,0.0,1,0,10
PMC7367873,39,55,36,17,3,0.6792,0.9231,0.7826,0.9454545454545454,0.9454545454545454,0.0,1,0,3
PMC7921882,18,25,17,7,1,0.7083,0.9444,0.8095,0.96,0.96,0.0,0,1,0
PMC8698288,27,28,27,4,0,0.8710,1.0000,0.9310,0.9642857142857143,0.9642857142857143,0.0,0,0,1
