Entity Type,Precision,Recall,F1-Score,True Positives,False Positives,False Negatives,GT Count,Pred Count,GT Only,Pred Only
AcquisitionMethod,1.0000,0.7778,0.8750,7,0,2,9,10,No,No
Age,1.0000,1.0000,1.0000,4,0,0,4,4,No,No
AlkylationReagent,0.8571,1.0000,0.9231,6,1,0,6,9,No,No
Bait,0.2000,1.0000,0.3333,2,8,0,2,9,No,No
CellLine,0.6250,1.0000,0.7692,5,3,0,5,8,No,No
CellPart,0.5000,1.0000,0.6667,3,3,0,3,6,No,No
CellType,0.5000,0.6000,0.5455,3,3,2,5,6,No,No
CleavageAgent,1.0000,1.0000,1.0000,14,0,0,14,13,No,No
CollisionEnergy,0.9167,0.9167,0.9167,11,1,1,12,12,No,No
Compound,0.1667,1.0000,0.2857,1,5,0,1,6,No,No
Depletion,1.0000,1.0000,1.0000,1,0,0,1,2,No,No
DevelopmentalStage,1.0000,1.0000,1.0000,3,0,0,3,3,No,No
Disease,0.6667,1.0000,0.8000,4,2,0,4,7,No,No
EnrichmentMethod,0.2500,1.0000,0.4000,5,15,0,5,19,No,No
FlowRateChromatogram,0.9167,0.7857,0.8462,11,1,3,14,13,No,No
FractionIdentifier,0.0000,0.0000,0.0000,0,2,3,3,2,No,No
FractionationMethod,0.8571,1.0000,0.9231,6,1,0,6,7,No,No
FragmentMassTolerance,0.8333,0.8333,0.8333,5,1,1,6,6,No,No
FragmentationMethod,1.0000,1.0000,1.0000,7,0,0,7,11,No,No
GeneticModification,0.1250,1.0000,0.2222,2,14,0,2,16,No,No
Genotype,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
GradientTime,0.9565,0.9565,0.9565,22,1,1,23,21,No,No
Instrument,1.0000,1.0000,1.0000,10,0,0,10,11,No,No
IonizationType,0.6667,1.0000,0.8000,4,2,0,4,7,No,No
Label,1.0000,0.8571,0.9231,12,0,2,14,10,No,No
MS2MassAnalyzer,0.0000,0.0000,0.0000,0,2,0,0,2,No,Yes
MaterialType,0.8182,1.0000,0.9000,9,2,0,9,13,No,No
Modification,1.0000,1.0000,1.0000,26,0,0,26,27,No,No
NumberOfBiologicalReplicates,1.0000,0.8750,0.9333,7,0,1,8,6,No,No
NumberOfFractions,0.3333,1.0000,0.5000,1,2,0,1,3,No,No
NumberOfMissedCleavages,0.7143,1.0000,0.8333,5,2,0,5,7,No,No
NumberOfSamples,0.0000,0.0000,0.0000,0,2,0,0,2,No,Yes
NumberOfTechnicalReplicates,0.3333,0.2500,0.2857,1,2,3,4,3,No,No
Organism,0.7500,0.8000,0.7742,12,4,3,15,16,No,No
OrganismPart,0.8125,1.0000,0.8966,13,3,0,13,16,No,No
OriginSiteDisease,0.0000,0.0000,0.0000,0,4,0,0,4,No,Yes
PooledSample,0.0000,0.0000,0.0000,0,3,0,0,3,No,Yes
PrecursorMassTolerance,0.7500,0.8571,0.8000,6,2,1,7,8,No,No
ReductionReagent,1.0000,1.0000,1.0000,8,0,0,8,12,No,No
SamplingTime,0.0000,0.0000,0.0000,0,8,0,0,8,No,Yes
Separation,0.2500,1.0000,0.4000,6,18,0,6,30,No,No
Sex,1.0000,1.0000,1.0000,2,0,0,2,2,No,No
Specimen,0.0000,0.0000,0.0000,0,3,0,0,3,No,Yes
SpikedCompound,0.0000,0.0000,0.0000,0,1,0,0,1,No,Yes
Strain,0.7500,1.0000,0.8571,3,1,0,3,4,No,No
SyntheticPeptide,0.0000,0.0000,0.0000,0,3,0,0,3,No,Yes
Temperature,0.3333,1.0000,0.5000,2,4,0,2,6,No,No
Time,0.3750,1.0000,0.5455,3,5,0,3,8,No,No
Treatment,0.2857,0.8000,0.4211,4,10,1,5,13,No,No
treatment,1.0000,1.0000,1.0000,2,0,0,2,2,No,No
