Entity_Type,GT_File,GT_Text,GT_Line,Pred_File,Pred_Text,Pred_Line,Similarity,Match_Type
AcquisitionMethod,PMC4746666,data dependent,1,PMC4746666,data dependent mass spectrometric method,1,0.9500,Semantic
AcquisitionMethod,PMC4746666,data dependent mass spectrometric method,6,PMC4746666,data dependent mass spectrometric method,1,1.0000,Exact
AcquisitionMethod,PMC5830451,Data-dependent acquisition,1,PMC5830451,Data-dependent acquisition,1,1.0000,Exact
AcquisitionMethod,PMC7144211,data dependent,1,PMC7144211,data dependent acquisition,1,0.9500,Semantic
AcquisitionMethod,PMC7294662,data-dependent,1,PMC7294662,data-dependent mode,1,0.9500,Semantic
AcquisitionMethod,PMC7294662,data-dependent,1,PMC7294662,data-dependent auto-MS/MS mode,2,0.9500,Semantic
AcquisitionMethod,PMC7294662,data-dependent,1,PMC7294662,data-dependent PASEF mode,3,0.9500,Semantic
AcquisitionMethod,PMC7367873,data-dependent acquisition,1,PMC7367873,data-dependent acquisition,1,1.0000,Exact
AcquisitionMethod,PMC7367873,data-dependent acquisition,1,PMC7367873,DDA,2,0.9500,Semantic
AcquisitionMethod,PMC8698288,data-dependent (dd) positive acquisition mode,1,PMC8698288,data-dependent,1,0.9500,Semantic
AcquisitionMethod,PMC8698288,data-dependent (dd) positive acquisition mode,1,PMC8698288,dd,2,0.8900,CompoundConcentrationMerge
Age,PMC4746666,40y,2,PMC4746666,40y,2,1.0000,Exact
Age,PMC4746666,39y,3,PMC4746666,39y,3,1.0000,Exact
Age,PMC4746666,27y,4,PMC4746666,27y,4,1.0000,Exact
Age,PMC4746666,20y,5,PMC4746666,20y,5,1.0000,Exact
AlkylationReagent,PMC4746666,iodoacetamide,7,PMC4746666,iodoacetamide,6,1.0000,Exact
AlkylationReagent,PMC5830451,iodoacetamide (IAA),2,PMC5830451,iodoacetamide,2,0.9500,Semantic
AlkylationReagent,PMC5830451,iodoacetamide (IAA),2,PMC5830451,IAA,3,0.9500,Semantic
AlkylationReagent,PMC7144211,iodoacetamide,2,PMC7144211,IAA,2,0.9500,Semantic
AlkylationReagent,PMC7144211,iodoacetamide,2,PMC7144211,iodoacetamide,3,1.0000,Exact
AlkylationReagent,PMC7294662,iodoacetamide,2,PMC7294662,iodoacetamide,4,1.0000,Exact
AlkylationReagent,PMC7367873,chloroacetamide,2,PMC7367873,chloroacetamide,3,1.0000,Exact
AlkylationReagent,PMC7921882,iodoacetamide,2,PMC7921882,iodoacetamide,1,1.0000,Exact
Bait,PMC10681723,Spt16,2,PMC10681723,Spt16,1,1.0000,Exact
Bait,PMC10681723,Spt16-ΔN,3,PMC10681723,Spt16,1,0.9500,Semantic
CellLine,PMC4746666,hESC ES04 (WiCell institute),8,PMC4746666,ES04 (WiCell institute),7,0.9500,Semantic
CellLine,PMC5830451,HeLa cells (ATCC),3,PMC5830451,HeLa cells (ATCC),4,1.0000,Exact
CellLine,PMC7294662,HeLa,3,PMC7294662,HeLa,9,1.0000,Exact
CellLine,PMC7294662,THP-1,4,PMC7294662,THP-1,10,1.0000,Exact
CellLine,PMC7367873,HeLa Kyoto,3,PMC7367873,HeLa Kyoto cells,6,0.9500,Semantic
CellPart,PMC4746666,cytosolic (CYT),9,PMC4746666,cytosolic (CYT),8,1.0000,Exact
CellPart,PMC4746666,nuclear (NUC),10,PMC4746666,nuclear (NUC),9,1.0000,Exact
CellPart,PMC4746666,chromatin-bound (CH),11,PMC4746666,chromatin-bound (CH),10,1.0000,Exact
CellType,PMC4746666,mesenchymal stem cells (MSC),12,PMC4746666,human embryonic stem cells (hESC),13,0.9300,DomainSemantic
CellType,PMC4746666,embryonic stem cells (ESC),13,PMC4746666,human embryonic stem cells (hESC),13,0.9300,DomainSemantic
