file_name,gt_count,pred_count,tp,fp,fn,precision,recall,f1
PMC10681723,9,18,7,12,2,0.3684,0.7778,0.5000
PMC4746666,42,41,39,2,3,0.9512,0.9286,0.9398
PMC5535869,29,34,27,6,2,0.8182,0.9310,0.8710
PMC5830451,29,32,25,6,4,0.8065,0.8621,0.8333
PMC6918071,16,21,13,6,3,0.6842,0.8125,0.7429
PMC7144211,30,44,27,16,3,0.6279,0.9000,0.7397
PMC7294662,43,79,42,34,1,0.5526,0.9767,0.7059
PMC7367873,39,77,36,35,3,0.5070,0.9231,0.6545
PMC7921882,18,29,15,11,3,0.5769,0.8333,0.6818
PMC8698288,27,46,27,17,0,0.6136,1.0000,0.7606
