file_name,entity_type,pred_text,pred_line,confidence,verdict
PMC10681723,Bait,Spt16,1,1.0,supported
PMC10681723,Bait,Mcm2HBD,2,1.0,supported
PMC10681723,CellType,budding yeast,3,1.0,supported
PMC10681723,EnrichmentMethod,Tandem affinity purification,4,1.0,supported
PMC10681723,EnrichmentMethod,Flag-tagged protein purification,5,1.0,supported
PMC10681723,EnrichmentMethod,GFP nanobody-based purification,6,1.0,supported
PMC10681723,EnrichmentMethod,GST pull-down,7,1.0,supported
PMC10681723,EnrichmentMethod,histone pull-down,8,1.0,supported
PMC10681723,EnrichmentMethod,FACT pull-down,9,1.0,supported
PMC10681723,GeneticModification,Spt16-TAP,10,1.0,supported
PMC10681723,GeneticModification,Flag-tagged,11,1.0,supported
PMC10681723,GeneticModification,GFP-tagged,12,1.0,supported
PMC10681723,GeneticModification,Spt16-ΔN,13,1.0,supported
PMC10681723,Genotype,W303-1,14,1.0,supported
PMC10681723,MaterialType,cells,15,1.0,supported
PMC10681723,Organism,Saccharomyces cerevisiae,16,1.0,supported
PMC10681723,Strain,W303-1,17,1.0,supported
PMC10681723,Temperature,30°C,18,1.0,supported
PMC4746666,AcquisitionMethod,data dependent mass spectrometric method,1,1.0,supported
PMC4746666,Age,40y,2,1.0,supported
PMC4746666,Age,39y,3,1.0,supported
PMC4746666,Age,27y,4,1.0,supported
PMC4746666,Age,20y,5,1.0,supported
PMC4746666,AlkylationReagent,iodoacetamide,6,1.0,supported
PMC4746666,CellLine,ES04 (WiCell institute),7,1.0,supported
PMC4746666,CellPart,cytosolic (CYT),8,1.0,supported
PMC4746666,CellPart,nuclear (NUC),9,1.0,supported
PMC4746666,CellPart,chromatin-bound (CH),10,1.0,supported
PMC4746666,CellType,human ESC-MSC,11,1.0,supported
PMC4746666,CellType,human bone marrow-derived MSC (BM-MSC),12,1.0,supported
PMC4746666,CellType,human embryonic stem cells (hESC),13,1.0,supported
PMC4746666,CleavageAgent,Lys-C,14,1.0,supported
PMC4746666,CleavageAgent,trypsin,15,1.0,supported
PMC4746666,CollisionEnergy,normalized collision energy 25,16,1.0,supported
PMC4746666,FlowRateChromatogram,250 nl/min,20,1.0,supported
PMC4746666,FractionationMethod,in-solution isoelectric focusing,21,1.0,supported
PMC4746666,FractionationMethod,OFFGEL fractionator,22,1.0,supported
PMC4746666,FragmentMassTolerance,20 ppm,23,1.0,supported
PMC4746666,FragmentationMethod,higher energy collisional dissociation,24,1.0,supported
PMC4746666,FragmentationMethod,HCD,25,1.0,supported
PMC4746666,GradientTime,100 min,26,1.0,supported
PMC4746666,Instrument,"Q Exactive mass spectrometer (Thermo Scientific, Bremen, Germany)",27,1.0,supported
PMC4746666,Label,SILAC,28,1.0,supported
PMC4746666,MaterialType,cells,29,1.0,supported
PMC4746666,Modification,N-terminal acetylation,30,1.0,supported
PMC4746666,Modification,methionine oxidation,31,1.0,supported
PMC4746666,Modification,cysteine carbamidomethylation,32,1.0,supported
PMC4746666,NumberOfBiologicalReplicates,3,33,1.0,supported
PMC4746666,NumberOfFractions,12 fractions,34,1.0,supported
